prompt_text,answer_text,prompt_lang,answer_lang
la bienvenida,(the) welcome,Spanish,English
la despedida,(the) farewell,Spanish,English
el destino,destination,Spanish,English
el itinerario,itinerary,Spanish,English
la llegada,arrival,Spanish,English
el pasaje (de ida y vuelta),(round-trip) ticket (for a plane),Spanish,English
el pasaporte,passport,Spanish,English
la tarjeta de embarque,boarding card,Spanish,English
la temporada alta,high season (traveling; planes),Spanish,English
la temporada baja,low season (traveling; planes),Spanish,English
el(la) viajero(a),traveler,Spanish,English
hacer las maletas,to pack (suitcase),Spanish,English
hacer transbordo,to change (planes/trains),Spanish,English
hacer un viaje,to take a trip,Spanish,English
ir(se) de vacaciones,to take a vacation,Spanish,English
perder (e:ie) (el vuelo),to miss (the flight),Spanish,English
regresar,to return,Spanish,English
a bordo,on board,Spanish,English
retrasado(a),delayed,Spanish,English
vencido(a),expired,Spanish,English
vigente,valid,Spanish,English
el albergue,hostel,Spanish,English
el alojamiento,lodging,Spanish,English
la habitación individual,single room (hotel),Spanish,English
la habitación doble,double room (hotel),Spanish,English
la recepción,front desk,Spanish,English
el servicio de habitación,room service,Spanish,English
alojarse,to stay,Spanish,English
cancelar,to cancel,Spanish,English
estar lleno(a),to be full,Spanish,English
quedarse,to stay,Spanish,English
reservar,to reserve,Spanish,English
de (buena) categoría,of (high) quality,Spanish,English
incluido(a),included,Spanish,English
recomendable,recommendable; advisable,Spanish,English
el accidente (automovilístico),(car) accident,Spanish,English
el(la) agente de aduanas,customs agent,Spanish,English
el aviso,notice; warning,Spanish,English
el cinturón de seguridad,seatbelt,Spanish,English
el congestionamiento,traffic jam,Spanish,English
las medidas de seguridad,security measures,Spanish,English
la seguridad,safety; security,Spanish,English
el seguro,insurance,Spanish,English
aterrizar,to land (a plane),Spanish,English
despegar,to take off (a plane),Spanish,English
ponerse el cinturón,to put on/fasten your seatbelt,Spanish,English
quitarse el cinturón,to take off/unfasten your seatbelt,Spanish,English
reducir (la velocidad),to reduce (speed),Spanish,English
peligroso(a),dangerous,Spanish,English
prohibido(a),prohibited; not allowed,Spanish,English
la aventura,adventure,Spanish,English
el(la) aventurero(a),adventurer,Spanish,English
la brújula,compass,Spanish,English
el buceo,scuba diving,Spanish,English
el campamento,campground,Spanish,English
el crucero,cruise (ship),Spanish,English
el (eco)turismo,(eco)tourism,Spanish,English
la excursión,excursion; tour,Spanish,English
la frontera,border,Spanish,English
el(la) guía turístico(a),tour guide,Spanish,English
la isla,island,Spanish,English
las olas,waves,Spanish,English
el puerto,port,Spanish,English
las ruinas,ruins,Spanish,English
la selva,jungle,Spanish,English
el(la) turista,tourist,Spanish,English
navegar,to sail,Spanish,English
recorrer,to visit; to go around,Spanish,English
lejano(a),distant,Spanish,English
turístico(a),tourist (ex: a “tourist” destination; adjective),Spanish,English
el árbol,tree,Spanish,English
el arrecife,reef,Spanish,English
el bosque (lluvioso),(rain) forest,Spanish,English
el campo,countryside; field,Spanish,English
la cordillera,mountain range,Spanish,English
la costa,coast,Spanish,English
el desierto,desert,Spanish,English
el mar,sea,Spanish,English
la montaña,mountain,Spanish,English
el paisaje,landscape; scenery,Spanish,English
la tierra,land; earth,Spanish,English
húmedo(a),humid; damp,Spanish,English
seco(a),dry,Spanish,English
a orillas de,on the shore of,Spanish,English
al aire libre,outdoors,Spanish,English
el ave (f.),bird (not pájaro),Spanish,English
el pájaro,bird (not ave),Spanish,English
el cerdo,pig,Spanish,English
el conejo,rabbit,Spanish,English
el león,lion,Spanish,English
el mono,monkey,Spanish,English
la oveja,sheep,Spanish,English
el pez,fish,Spanish,English
la rana,frog,Spanish,English
la serpiente,snake,Spanish,English
el tigre,tiger,Spanish,English
la vaca,cow,Spanish,English
atrapar,to trap; to catch,Spanish,English
cazar,to hunt,Spanish,English
dar de comer,to feed,Spanish,English
extinguirse,to become extinct,Spanish,English
morder (o:ue),to bite,Spanish,English
en peligro de extinción,endangered,Spanish,English
salvaje,wild,Spanish,English
venenoso(a),poisonous,Spanish,English
el huracán,hurricane,Spanish,English
el incendio,fire,Spanish,English
la inundación,flood,Spanish,English
el relámpago,lightning,Spanish,English
la sequía,drought,Spanish,English
el terremoto,earthquake,Spanish,English
la tormenta (tropical),(tropical) storm,Spanish,English
el trueno,thunder,Spanish,English
el calentamiento global,global warming,Spanish,English
la capa de ozono,ozone layer,Spanish,English
el combustible,fuel,Spanish,English
la contaminación,pollution; contamination,Spanish,English
la deforestación,deforestation,Spanish,English
el desarrollo,development,Spanish,English
la erosión,erosion,Spanish,English
la fuente de energía,energy source,Spanish,English
el medio ambiente,environment,Spanish,English
los recursos naturales,natural resources,Spanish,English
agotar,to use up,Spanish,English
conservar,to conserve; to preserve,Spanish,English
contaminar,to pollute; to contaminate,Spanish,English
contribuir (a),to contribute (to),Spanish,English
desaparecer,to disappear,Spanish,English
destruir,to destroy,Spanish,English
malgastar,to waste,Spanish,English
proteger,to protect,Spanish,English
reciclar,to recycle,Spanish,English
resolver (o:ue),to solve,Spanish,English
dañino(a),harmful,Spanish,English
desechable,disposable,Spanish,English
renovable,renewable,Spanish,English
tóxico(a),toxic,Spanish,English
cabrá,it will fit,Spanish,English
habré hecho,I will have done,Spanish,English
podrás,You will be able to,Spanish,English
querremos,We will want,Spanish,English
sabrán,They will know (factually),Spanish,English
pondré,I will put,Spanish,English
saldré,I will leave (not irse),Spanish,English
tendrá,He/she will have,Spanish,English
valdrá,it will be worth,Spanish,English
vendremos,we will come,Spanish,English
diré,I will say,Spanish,English
haré,I will do,Spanish,English
me satisfará,it will satisfy me,Spanish,English
a menos que,unless,Spanish,English
antes (de) que,before (conj; not antes),Spanish,English
con tal (de) que,provided that; given that,Spanish,English
en caso (de) que,in case that,Spanish,English
para que,so that,Spanish,English
sin que,without; unless,Spanish,English
a pesar de que,despite,Spanish,English
aunque,although; even if,Spanish,English
después (de) que,after (conj; not después),Spanish,English
en cuanto,as soon as,Spanish,English
hasta que,until that,Spanish,English
tan pronto como,as soon as (not luego que),Spanish,English
luego que,as soon as (not tan pronto como),Spanish,English
mientras que,while (conj; not just mientras),Spanish,English
siempre que,as long as,Spanish,English
la arroba,@ symbol,Spanish,English
el blog,blog,Spanish,English
el buscador,search engine,Spanish,English
la computadora portátil,laptop,Spanish,English
la contraseña,password,Spanish,English
